iter	Passed	Remaining
686	2781	1267
687	2785	1263
688	2790	1259
689	2795	1255
690	2803	1253
691	2808	1250
692	2813	1246
693	2818	1242
694	2822	1238
695	2826	1234
696	2831	1230
697	2836	1227
698	2840	1223
699	2844	1219
700	2850	1216
701	2855	1212
702	2859	1208
703	2864	1204
704	2868	1200
705	2873	1196
706	2880	1193
707	2889	1191
708	2895	1188
709	2902	1185
710	2906	1181
711	2910	1177
712	2915	1173
713	2921	1170
714	2925	1166
715	2929	1162
716	2934	1158
717	2938	1154
718	2942	1149
719	2946	1145
720	2950	1141
721	2954	1137
722	2959	1133
723	2963	1129
724	2968	1125
725	2972	1121
726	2976	1117
727	2980	1113
728	2984	1109
729	2988	1105
730	2992	1101
731	2997	1097
732	3001	1093
733	3005	1089
734	3009	1085
735	3013	1081
736	3017	1076
737	3021	1072
738	3026	1068
739	3030	1064
740	3034	1060
741	3038	1056
742	3042	1052
743	3046	1048
744	3050	1044
745	3055	1040
746	3059	1036
747	3063	1032
748	3067	1027
749	3071	1023
750	3075	1019
751	3079	1015
752	3083	1011
753	3088	1007
754	3092	1003
755	3096	999
756	3100	995
757	3104	991
758	3109	987
759	3113	983
760	3117	979
761	3121	974
762	3125	970
763	3129	966
764	3133	962
765	3137	958
766	3142	954
767	3146	950
768	3150	946
769	3154	942
770	3158	938
771	3163	934
772	3167	930
773	3170	925
774	3175	921
775	3179	917
776	3183	913
777	3187	909
778	3191	905
779	3196	901
780	3200	897
781	3205	893
782	3210	889
783	3214	885
784	3218	881
785	3224	877
786	3228	873
787	3232	869
788	3237	865
789	3241	861
790	3245	857
791	3249	853
792	3253	849
793	3257	845
794	3262	841
795	3266	837
796	3270	833
797	3274	828
798	3278	824
799	3283	820
800	3287	816
801	3291	812
802	3295	808
803	3299	804
804	3303	800
805	3307	796
806	3311	791
807	3314	787
808	3319	783
809	3322	779
810	3326	775
811	3330	771
812	3335	767
813	3339	763
814	3343	758
815	3347	754
816	3352	750
817	3356	746
818	3360	742
819	3365	738
820	3369	734
821	3374	730
822	3378	726
823	3383	722
824	3387	718
825	3391	714
826	3396	710
827	3400	706
828	3405	702
829	3409	698
830	3414	694
831	3418	690
832	3423	686
833	3427	682
834	3432	678
835	3437	674
836	3442	670
837	3447	666
838	3451	662
839	3455	658
840	3459	654
841	3464	650
842	3468	645
843	3472	641
844	3476	637
845	3480	633
846	3484	629
847	3488	625
848	3493	621
849	3497	617
850	3501	613
851	3505	608
852	3510	604
853	3514	600
854	3519	596
855	3523	592
856	3528	588
857	3533	584
858	3537	580
859	3541	576
860	3546	572
861	3551	568
862	3555	564
863	3560	560
864	3564	556
865	3568	552
866	3572	547
867	3576	543
868	3580	539
869	3584	535
870	3588	531
871	3593	527
872	3598	523
873	3602	519
874	3606	515
875	3610	511
876	3614	506
877	3618	502
878	3622	498
879	3627	494
880	3630	490
881	3635	486
882	3639	482
